verb,count
attribute,51
quote,50
forward,50
break,50
deep,50
state,49
assign,48
inflate,47
input,47
choose,46
ca,46
opt,46
reshape,46
provide,45
row,45
rename,45
divide,45
range,45
back,45
await,44
encrypt,44
recycle,44
prop,44
drop,43
view,43
retrieve,43
receive,43
order,42
shift,41
point,41
import,41
grow,39
constrain,38
part,38
flag,38
follow,37
unbind,37
include,37
schedule,37
file,36
park,36
say,36
high,35
record,35
fast,34
link,34
confound,33
instantiate,33
bound,33
complement,33
override,32
embed,32
hold,32
disable,32
populate,31
pack,31
sin,31
collapse,30
perform,30
join,30
service,30
full,29
study,29
supplement,29
low,29
offer,29
retain,28
color,28
share,28
commit,28
hit,28
deactivate,27
head,27
sign,27
take,27
tail,26
fit,26
render,26
style,25
de,25
result,25
increase,25
trail,25
tree,25
allow,25
sanitize,24
lead,24
capitalize,24
drain,23
reference,23
persist,23
terminate,23
distance,23
reduce,23
edit,22
grab,22
reject,22
enumerate,22
fragment,22
queue,21
quick,21
instance,21
continue,21
negate,21
accumulate,21
inset,21
dim,20
disambiguate,20
recalculate,20
ready,20
finalize,20
right,20
mask,20
attach,20
refresh,20
exclude,19
precis,19
differ,19
navigate,19
decompose,19
collect,19
concatenate,19
play,19
yield,18
bootstrap,18
switch,18
implement,18
kill,18
abandon,18
purge,18
have,18
undo,17
seal,17
prefix,17
expunge,17
restart,17
page,17
descend,17
mangle,17
stub,17
guess,17
solve,16
extend,16
attempt,16
slice,16
redo,16
tag,16
unpack,15
track,15
document,15
freeze,15
submit,15
toggle,15
leave,15
function,14
operate,14
pad,14
justify,14
refer,14
force,14
pump,14
phase,14
cant,14
coerce,14
wrong,14
broadcast,13
synthesize,13
source,13
rehash,13
custom,13
analyze,13
publish,13
out,13
deflate,13
channel,13
optimize,12
package,12
stream,12
note,12
echo,12
character,12
table,12
bridge,11
bean,11
remainder,11
center,11
lower,11
self,11
interest,11
clamp,11
damage,11
network,11
materialize,11
determine,11
overlap,10
sequence,10
shut,10
symbolize,10
initial,10
recover,10
trust,10
tick,10
wake,10
leaf,9
date,9
sift,9
authenticate,9
tan,9
incarnate,9
own,9
field,9
reconstruct,9
circumvent,9
classify,9
go,9
step,9
press,9
unload,9
pin,9
buffer,9
etherealize,8
blur,8
initialise,8
omit,8
command,8
negative,8
combine,8
coalesce,8
customize,8
slash,8
resume,8
stress,8
download,8
fault,8
flavor,8
refine,8
reposition,8
patch,8
sum,8
segment,8
help,8
inject,8
produce,8
partition,8
canonize,8
single,8
unmask,8
decrease,8
offset,7
infer,7
reconcile,7
square,7
bomb,7
launch,7
dot,7
pass,7
reclaim,7
shape,7
reuse,7
minimize,7
compress,7
require,7
propagate,7
top,7
truncate,7
one,7
initiate,7
home,7
root,7
miss,6
associate,6
ad,6
suspend,6
prompt,6
flatten,6
frame,6
soap,6
delegate,6
shallow,6
pattern,6
aggregate,6
effect,6
prune,6
found,6
assure,6
revert,6
power,6
rebuild,6
capture,6
interpret,6
deliver,6
refill,5
reload,5
roll,5
invert,5
script,5
simulate,5
delay,5
linger,5
chunk,5
browse,5
die,5
examine,5
grant,5
keep,5
arrange,5
halt,5
up,5
relativize,5
shed,5
sieve,5
span,5
expire,5
slot,5
control,5
subdivide,4
shuffle,4
fracture,4
posit,4
renew,4
canvas,4
migrate,4
profile,4
instruct,4
inquire,4
average,4
hint,4
correct,4
present,4
stamp,4
arc,4
decorate,4
tie,4
augment,4
down,4
transit,4
stuff,4
destruct,4
live,4
prime,4
by,4
trigger,4
cut,4
reply,4
approve,4
err,4
establish,4
enlarge,4
atom,4
scheme,4
identify,4
detect,4
explain,4
inherit,4
peep,4
label,4
describe,4
realize,3
insure,3
mute,3
iterate,3
tailor,3
bundle,3
structure,3
console,3
audit,3
replay,3
loop,3
unblock,3
rid,3
card,3
maximize,3
thread,3
shear,3
suffix,3
saturate,3
condition,3
ignore,3
host,3
cover,3
belong,3
environ,3
erase,3
suppress,3
closure,3
shrink,3
negotiate,3
latch,3
fork,3
total,3
burst,3
touch,3
paragraph,3
paste,3
unpin,3
author,3
repair,3
place,3
chase,3
revoke,3
progress,3
listen,3
annotate,3
instal,3
understand,3
blend,3
encompass,3
unfurl,3
sniff,3
abstract,3
concrete,3
reorder,3
swing,2
rewrite,2
pick,2
restrict,2
bare,2
re,2
observe,2
convolve,2
monitor,2
emulate,2
remember,2
eliminate,2
organize,2
distribute,2
feed,2
exchange,2
ask,2
proceed,2
absorb,2
preserve,2
want,2
develop,2
beep,2
redefine,2
form,2
fold,2
mail,2
reify,2
dirty,2
depopulate,2
work,2
express,2
interpolate,2
gather,2
major,2
white,2
shadow,2
ticket,2
branch,2
calendar,2
accommodate,2
internalize,2
reason,2
resurrect,2
overflow,2
hook,2
peer,2
obstruct,2
will,2
repeat,2
hop,2
reopen,2
unbox,2
recreate,2
flat,2
throttle,1
decide,1
unfold,1
subsume,1
substitute,1
guarantee,1
spread,1
band,1
consist,1
reconvert,1
discard,1
bracket,1
cross,1
like,1
hurry,1
assemble,1
dismiss,1
spool,1
micro,1
probe,1
protect,1
depend,1
reflect,1
cycle,1
zone,1
reschedule,1
sock,1
categorise,1
promote,1
resort,1
case,1
manifest,1
intercept,1
anchor,1
colorize,1
win,1
relinquish,1
program,1
box,1
transplant,1
redirect,1
cosh,1
spin,1
conclude,1
plug,1
reread,1
adopt,1
o,1
reserve,1
indicate,1
tile,1
jar,1
simplify,1
mime,1
predicate,1
raise,1
reconstitute,1
introspect,1
pause,1
boot,1
detail,1
subject,1
mix,1
quit,1
maintain,1
see,1
transact,1
theme,1
prioritize,1
plain,1
ascend,1
time,1
tally,1
